TimeStamp_10_min,TimeStamp_hour,TimeStamp_daily,TimeStamp_weekly,TimeStamp_monthly,TimeStamp_quarterly,TimeStamp_semesterly,TimeStamp_yearly,TimeStamp_daily_num,TimeStamp_10min_num,test,TimeStamp,ID,Type,SourceId,SourceName,SourceType,EffectId,TimestampUTC,Priority,Cause,CauseValue,Effect,EffectValue,EndId,EndTimestampUTC,EndCause,EndCauseValue,EndEffectValue,AckTimeUTC,AckUserName,AckRemark,Waveform,SystemName,EndTimestampUTC2,UTC_Start_TimeStamp_CT,UTC_End_TimeStamp_CT,UTC_Start_TimeStamp,UTC_End_TimeStamp,UTC_End_TimeStamp_ref,UTC_duration_CT,Duration,UTC_Start_TimeStamp_num,UTC_End_TimeStamp_num,UTC_End_TimeStamp_num_ref,duration_time,dur_0,dur_1,dur_10,dur_1mn,dur_10mn,dur_1hr,dur_1day,dur_10days,dur_more10days,dur_all,StartDate,EndDate,Duration_days,Nr_of_daily_alarms,UTC_Start_TimeStamp_num_original,UTC_End_TimeStamp_num_original,year,semester,yearsmester,quarter,yearquarter,month,yearmonth,week,yearweek,heure,count_semester,count_month,count_hour,count_week,count_quarter,data_present,data_system_received,data_received,data_received_week,data_received_month,data_received_quarter,data_received_semester,Hourly_Freq,daily_average_hourly,weekly_average_hourly,monthly_average_hourly,quarterly_average_hourly,semesterly_average_hourly,yearly_average_hourly,Ten_Freq,daily_average_Ten,weekly_average_Ten,monthly_average_Ten,quarterly_average_Ten,semesterly_average_Ten,yearly_average_Ten,chattering,chattering_events_per_10_min,chattering_meter_per_10_min,more_than_24_PerDay,more_than_24_PerDay_value,MonthlyEvent,MonthlyEvent_value,Ten_Freq_chattering,daily_Freq_chattering,weekly_Freq_chattering,monthly_Freq_chattering,quarterly_Freq_chattering,semesterly_Freq_chattering,yearly_Freq_chattering,more_than_10,Ten_Freq_more_than_10,daily_Freq_more_than_10,weekly_Freq_more_than_10,monthly_Freq_more_than_10,quarterly_Freq_more_than_10,semesterly_Freq_more_than_10,yearly_Freq_more_than_10,unique_source_id_per_10min,unique_effect_id_per_10min,flood_more_than_10_several_meters,flood_more_than_10_several_alarms,Flood_state,Ten_Freq_Flood,daily_Freq_Flood,weekly_Freq_Flood,monthly_Freq_Flood,quarterly_Freq_Flood,semesterly_Freq_Flood,yearly_Freq_Flood,flood_groups,duration_flood,duration_Betweenflood,consecutive_flood,Nr_meters_flood,Nr_Alarms_flood,Nr_chattering_per_meter,Rank_chattering_per_meter,Nr_chattering_per_alarm_per_meter,Rank_chattering_per_alarm_per_meter,Nr_chattering_per_alarm,Rank_chattering_per_alarm,chattering_all_meters_VS_meteralarm,Nr_flood_per_meter,Rank_flood_per_meter,Nr_flood_per_alarm_per_meter,Rank_flood_per_alarm_per_meter,Nr_flood_per_alarm,Rank_flood_per_alarm,flood_all_meters_VS_meteralarm,Nr_chattering_per_meter_monthly,Rank_chattering_per_meter_monthly,Nr_chattering_per_alarm_per_meter_monthly,Rank_chattering_per_alarm_per_meter_monthly,Nr_chattering_per_alarm_monthly,Rank_chattering_per_alarm_monthly,chattering_all_meters_VS_meteralarm_monthly,Last_Active_value_monthly_Ten2,Lag_MonthRef_Ten,Last_Active_value_monthly_Hourly2,Lag_MonthRef_Hour,Last_Active_value_monthly_chattering2,Lag_MonthRef_chattering,Last_Active_value_monthly_more_than_102,Lag_MonthRef_more_than_10,Last_Active_value_monthly_Flood2,Lag_MonthRef_Flood,Diff_TenMin,DiffRef_TenMin,Trend_TenMin,Trend_Hour,Diff_Hour,Trend_Chattering,Trend_more_than_10,Trend_Flood
2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325376000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 00:10:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325376600,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 00:20:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325377200,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 00:30:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325377800,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 00:40:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325378400,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 00:50:00,2012-01-01 00:00:00,2012-01-01,1,1,1,1,2012,15340,1325379000,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 01:00:00,2012-01-01 01:00:00,2012-01-01,1,1,1,1,2012,15340,1325379600,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 01:10:00,2012-01-01 01:00:00,2012-01-01,1,1,1,1,2012,15340,1325380200,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 01:20:00,2012-01-01 01:00:00,2012-01-01,1,1,1,1,2012,15340,1325380800,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01 01:30:00,2012-01-01 01:00:00,2012-01-01,1,1,1,1,2012,15340,1325381400,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,0,0,0.0631786771964462,0.0366398570151921,0.086854103343465,0.0539913248611217,0.0407224399386608,0,0,0.0286278381046397,0.0142984807864164,0.0458966565349544,0.0281561524998098,0.0224721228299351,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,2,2,8,8,18,FALSE,0,0,0,0,19,19,42,1,1,FALSE,FALSE,FALSE,0,0,0,0,19,19,42,1,0,NA,0,0,0,0,81,0,89,0,77,0,0,120,0,82,0,69,0,0,1,0,1,0,1,0,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,NA
